color,order
"[112, 88, 71]","[(29, 29, 33), (157, 157, 151), (131, 84, 50)]"
"[134, 70, 65]","[(29, 29, 33), (157, 157, 151), (176, 46, 38)]"
"[171, 110, 60]","[(29, 29, 33), (157, 157, 151), (249, 128, 29)]"
"[174, 154, 76]","[(29, 29, 33), (157, 157, 151), (254, 216, 61)]"
"[110, 146, 62]","[(29, 29, 33), (157, 157, 151), (128, 199, 31)]"
"[94, 108, 57]","[(29, 29, 33), (157, 157, 151), (94, 124, 22)]"
"[58, 124, 124]","[(29, 29, 33), (157, 157, 151), (22, 156, 156)]"
"[76, 136, 155]","[(29, 29, 33), (157, 157, 151), (58, 179, 218)]"
"[76, 80, 131]","[(29, 29, 33), (157, 157, 151), (60, 68, 170)]"
"[115, 72, 138]","[(29, 29, 33), (157, 157, 151), (137, 50, 184)]"
"[146, 86, 140]","[(29, 29, 33), (157, 157, 151), (199, 78, 189)]"
"[168, 116, 131]","[(29, 29, 33), (157, 157, 151), (243, 139, 170)]"
"[150, 154, 156]","[(29, 29, 33), (71, 79, 82), (249, 255, 254)]"
"[104, 106, 104]","[(29, 29, 33), (71, 79, 82), (157, 157, 151)]"
"[60, 66, 70]","[(29, 29, 33), (71, 79, 82), (71, 79, 82)]"
"[40, 42, 45]","[(29, 29, 33), (71, 79, 82), (29, 29, 33)]"
"[90, 69, 54]","[(29, 29, 33), (71, 79, 82), (131, 84, 50)]"
"[113, 50, 48]","[(29, 29, 33), (71, 79, 82), (176, 46, 38)]"
"[150, 91, 43]","[(29, 29, 33), (71, 79, 82), (249, 128, 29)]"
"[152, 135, 59]","[(29, 29, 33), (71, 79, 82), (254, 216, 61)]"
"[89, 126, 44]","[(29, 29, 33), (71, 79, 82), (128, 199, 31)]"
"[72, 89, 40]","[(29, 29, 33), (71, 79, 82), (94, 124, 22)]"
"[36, 105, 107]","[(29, 29, 33), (71, 79, 82), (22, 156, 156)]"
"[54, 116, 138]","[(29, 29, 33), (71, 79, 82), (58, 179, 218)]"
"[55, 61, 114]","[(29, 29, 33), (71, 79, 82), (60, 68, 170)]"
"[94, 52, 121]","[(29, 29, 33), (71, 79, 82), (137, 50, 184)]"
"[124, 66, 123]","[(29, 29, 33), (71, 79, 82), (199, 78, 189)]"
"[146, 96, 114]","[(29, 29, 33), (71, 79, 82), (243, 139, 170)]"
"[139, 142, 144]","[(29, 29, 33), (29, 29, 33), (249, 255, 254)]"
"[93, 93, 92]","[(29, 29, 33), (29, 29, 33), (157, 157, 151)]"
"[50, 54, 58]","[(29, 29, 33), (29, 29, 33), (71, 79, 82)]"
"[29, 29, 33]","[(29, 29, 33), (29, 29, 33), (29, 29, 33)]"
"[80, 56, 42]","[(29, 29, 33), (29, 29, 33), (131, 84, 50)]"
"[102, 38, 36]","[(29, 29, 33), (29, 29, 33), (176, 46, 38)]"
"[139, 78, 31]","[(29, 29, 33), (29, 29, 33), (249, 128, 29)]"
"[142, 122, 47]","[(29, 29, 33), (29, 29, 33), (254, 216, 61)]"
"[78, 114, 32]","[(29, 29, 33), (29, 29, 33), (128, 199, 31)]"
"[62, 76, 28]","[(29, 29, 33), (29, 29, 33), (94, 124, 22)]"
"[26, 92, 94]","[(29, 29, 33), (29, 29, 33), (22, 156, 156)]"
"[44, 104, 126]","[(29, 29, 33), (29, 29, 33), (58, 179, 218)]"
"[44, 48, 102]","[(29, 29, 33), (29, 29, 33), (60, 68, 170)]"
"[83, 40, 108]","[(29, 29, 33), (29, 29, 33), (137, 50, 184)]"
"[114, 54, 111]","[(29, 29, 33), (29, 29, 33), (199, 78, 189)]"
"[136, 84, 102]","[(29, 29, 33), (29, 29, 33), (243, 139, 170)]"
"[164, 156, 148]","[(29, 29, 33), (131, 84, 50), (249, 255, 254)]"
"[118, 107, 96]","[(29, 29, 33), (131, 84, 50), (157, 157, 151)]"
"[76, 68, 62]","[(29, 29, 33), (131, 84, 50), (71, 79, 82)]"
"[54, 43, 37]","[(29, 29, 33), (131, 84, 50), (29, 29, 33)]"
"[106, 70, 46]","[(29, 29, 33), (131, 84, 50), (131, 84, 50)]"
"[128, 51, 40]","[(29, 29, 33), (131, 84, 50), (176, 46, 38)]"
"[164, 92, 35]","[(29, 29, 33), (131, 84, 50), (249, 128, 29)]"
"[167, 136, 51]","[(29, 29, 33), (131, 84, 50), (254, 216, 61)]"
"[104, 128, 36]","[(29, 29, 33), (131, 84, 50), (128, 199, 31)]"
"[87, 90, 32]","[(29, 29, 33), (131, 84, 50), (94, 124, 22)]"
"[51, 106, 99]","[(29, 29, 33), (131, 84, 50), (22, 156, 156)]"
"[69, 118, 130]","[(29, 29, 33), (131, 84, 50), (58, 179, 218)]"
"[70, 62, 106]","[(29, 29, 33), (131, 84, 50), (60, 68, 170)]"
"[108, 53, 113]","[(29, 29, 33), (131, 84, 50), (137, 50, 184)]"
"[140, 67, 115]","[(29, 29, 33), (131, 84, 50), (199, 78, 189)]"
"[162, 98, 106]","[(29, 29, 33), (131, 84, 50), (243, 139, 170)]"
"[176, 146, 145]","[(29, 29, 33), (176, 46, 38), (249, 255, 254)]"
"[130, 97, 93]","[(29, 29, 33), (176, 46, 38), (157, 157, 151)]"
"[87, 58, 59]","[(29, 29, 33), (176, 46, 38), (71, 79, 82)]"
"[66, 33, 34]","[(29, 29, 33), (176, 46, 38), (29, 29, 33)]"
"[117, 61, 43]","[(29, 29, 33), (176, 46, 38), (131, 84, 50)]"
"[139, 42, 37]","[(29, 29, 33), (176, 46, 38), (176, 46, 38)]"
"[176, 83, 32]","[(29, 29, 33), (176, 46, 38), (249, 128, 29)]"
"[178, 127, 48]","[(29, 29, 33), (176, 46, 38), (254, 216, 61)]"
"[115, 118, 33]","[(29, 29, 33), (176, 46, 38), (128, 199, 31)]"
"[98, 81, 29]","[(29, 29, 33), (176, 46, 38), (94, 124, 22)]"
"[62, 97, 96]","[(29, 29, 33), (176, 46, 38), (22, 156, 156)]"
"[80, 108, 127]","[(29, 29, 33), (176, 46, 38), (58, 179, 218)]"
"[81, 53, 103]","[(29, 29, 33), (176, 46, 38), (60, 68, 170)]"
"[120, 44, 110]","[(29, 29, 33), (176, 46, 38), (137, 50, 184)]"
"[151, 58, 112]","[(29, 29, 33), (176, 46, 38), (199, 78, 189)]"
"[173, 88, 103]","[(29, 29, 33), (176, 46, 38), (243, 139, 170)]"
"[194, 167, 142]","[(29, 29, 33), (249, 128, 29), (249, 255, 254)]"
"[148, 118, 91]","[(29, 29, 33), (249, 128, 29), (157, 157, 151)]"
"[105, 79, 56]","[(29, 29, 33), (249, 128, 29), (71, 79, 82)]"
"[84, 54, 32]","[(29, 29, 33), (249, 128, 29), (29, 29, 33)]"
"[135, 81, 40]","[(29, 29, 33), (249, 128, 29), (131, 84, 50)]"
"[158, 62, 34]","[(29, 29, 33), (249, 128, 29), (176, 46, 38)]"
"[194, 103, 30]","[(29, 29, 33), (249, 128, 29), (249, 128, 29)]"
"[196, 147, 46]","[(29, 29, 33), (249, 128, 29), (254, 216, 61)]"
"[134, 139, 31]","[(29, 29, 33), (249, 128, 29), (128, 199, 31)]"
"[116, 101, 26]","[(29, 29, 33), (249, 128, 29), (94, 124, 22)]"
"[80, 117, 94]","[(29, 29, 33), (249, 128, 29), (22, 156, 156)]"
"[98, 129, 124]","[(29, 29, 33), (249, 128, 29), (58, 179, 218)]"
"[100, 73, 100]","[(29, 29, 33), (249, 128, 29), (60, 68, 170)]"
"[138, 64, 108]","[(29, 29, 33), (249, 128, 29), (137, 50, 184)]"
"[169, 78, 110]","[(29, 29, 33), (249, 128, 29), (199, 78, 189)]"
"[191, 109, 100]","[(29, 29, 33), (249, 128, 29), (243, 139, 170)]"
"[195, 189, 150]","[(29, 29, 33), (254, 216, 61), (249, 255, 254)]"
"[149, 140, 99]","[(29, 29, 33), (254, 216, 61), (157, 157, 151)]"
"[106, 101, 64]","[(29, 29, 33), (254, 216, 61), (71, 79, 82)]"
"[85, 76, 40]","[(29, 29, 33), (254, 216, 61), (29, 29, 33)]"
"[136, 103, 48]","[(29, 29, 33), (254, 216, 61), (131, 84, 50)]"
"[159, 84, 42]","[(29, 29, 33), (254, 216, 61), (176, 46, 38)]"
"[195, 125, 38]","[(29, 29, 33), (254, 216, 61), (249, 128, 29)]"
"[198, 169, 54]","[(29, 29, 33), (254, 216, 61), (254, 216, 61)]"
"[135, 161, 39]","[(29, 29, 33), (254, 216, 61), (128, 199, 31)]"
"[118, 123, 34]","[(29, 29, 33), (254, 216, 61), (94, 124, 22)]"
"[82, 139, 102]","[(29, 29, 33), (254, 216, 61), (22, 156, 156)]"
"[100, 151, 132]","[(29, 29, 33), (254, 216, 61), (58, 179, 218)]"
"[101, 95, 108]","[(29, 29, 33), (254, 216, 61), (60, 68, 170)]"
"[139, 86, 116]","[(29, 29, 33), (254, 216, 61), (137, 50, 184)]"
"[170, 100, 118]","[(29, 29, 33), (254, 216, 61), (199, 78, 189)]"
"[192, 131, 108]","[(29, 29, 33), (254, 216, 61), (243, 139, 170)]"
"[164, 184, 143]","[(29, 29, 33), (128, 199, 31), (249, 255, 254)]"
"[118, 136, 92]","[(29, 29, 33), (128, 199, 31), (157, 157, 151)]"
"[75, 96, 57]","[(29, 29, 33), (128, 199, 31), (71, 79, 82)]"
"[54, 72, 32]","[(29, 29, 33), (128, 199, 31), (29, 29, 33)]"
"[105, 99, 41]","[(29, 29, 33), (128, 199, 31), (131, 84, 50)]"
"[127, 80, 35]","[(29, 29, 33), (128, 199, 31), (176, 46, 38)]"
"[164, 121, 30]","[(29, 29, 33), (128, 199, 31), (249, 128, 29)]"
"[166, 165, 46]","[(29, 29, 33), (128, 199, 31), (254, 216, 61)]"
"[103, 156, 32]","[(29, 29, 33), (128, 199, 31), (128, 199, 31)]"
"[86, 119, 27]","[(29, 29, 33), (128, 199, 31), (94, 124, 22)]"
"[50, 135, 94]","[(29, 29, 33), (128, 199, 31), (22, 156, 156)]"
"[68, 146, 125]","[(29, 29, 33), (128, 199, 31), (58, 179, 218)]"
"[69, 91, 101]","[(29, 29, 33), (128, 199, 31), (60, 68, 170)]"
"[108, 82, 108]","[(29, 29, 33), (128, 199, 31), (137, 50, 184)]"
"[139, 96, 110]","[(29, 29, 33), (128, 199, 31), (199, 78, 189)]"
"[161, 126, 101]","[(29, 29, 33), (128, 199, 31), (243, 139, 170)]"
"[155, 166, 141]","[(29, 29, 33), (94, 124, 22), (249, 255, 254)]"
"[109, 117, 89]","[(29, 29, 33), (94, 124, 22), (157, 157, 151)]"
"[66, 78, 55]","[(29, 29, 33), (94, 124, 22), (71, 79, 82)]"
"[45, 53, 30]","[(29, 29, 33), (94, 124, 22), (29, 29, 33)]"
"[96, 80, 39]","[(29, 29, 33), (94, 124, 22), (131, 84, 50)]"
"[119, 61, 33]","[(29, 29, 33), (94, 124, 22), (176, 46, 38)]"
"[155, 102, 28]","[(29, 29, 33), (94, 124, 22), (249, 128, 29)]"
"[158, 146, 44]","[(29, 29, 33), (94, 124, 22), (254, 216, 61)]"
"[95, 138, 29]","[(29, 29, 33), (94, 124, 22), (128, 199, 31)]"
"[78, 100, 25]","[(29, 29, 33), (94, 124, 22), (94, 124, 22)]"
"[42, 116, 92]","[(29, 29, 33), (94, 124, 22), (22, 156, 156)]"
"[60, 128, 123]","[(29, 29, 33), (94, 124, 22), (58, 179, 218)]"
"[61, 72, 99]","[(29, 29, 33), (94, 124, 22), (60, 68, 170)]"
"[99, 63, 106]","[(29, 29, 33), (94, 124, 22), (137, 50, 184)]"
"[130, 77, 108]","[(29, 29, 33), (94, 124, 22), (199, 78, 189)]"
"[152, 108, 99]","[(29, 29, 33), (94, 124, 22), (243, 139, 170)]"
"[137, 174, 174]","[(29, 29, 33), (22, 156, 156), (249, 255, 254)]"
"[91, 125, 123]","[(29, 29, 33), (22, 156, 156), (157, 157, 151)]"
"[48, 86, 88]","[(29, 29, 33), (22, 156, 156), (71, 79, 82)]"
"[27, 61, 64]","[(29, 29, 33), (22, 156, 156), (29, 29, 33)]"
"[78, 88, 72]","[(29, 29, 33), (22, 156, 156), (131, 84, 50)]"
"[101, 69, 66]","[(29, 29, 33), (22, 156, 156), (176, 46, 38)]"
"[137, 110, 62]","[(29, 29, 33), (22, 156, 156), (249, 128, 29)]"
"[140, 154, 78]","[(29, 29, 33), (22, 156, 156), (254, 216, 61)]"
"[77, 146, 63]","[(29, 29, 33), (22, 156, 156), (128, 199, 31)]"
"[60, 108, 58]","[(29, 29, 33), (22, 156, 156), (94, 124, 22)]"
"[24, 124, 125]","[(29, 29, 33), (22, 156, 156), (22, 156, 156)]"
"[42, 136, 156]","[(29, 29, 33), (22, 156, 156), (58, 179, 218)]"
"[43, 80, 132]","[(29, 29, 33), (22, 156, 156), (60, 68, 170)]"
"[81, 71, 139]","[(29, 29, 33), (22, 156, 156), (137, 50, 184)]"
"[112, 85, 142]","[(29, 29, 33), (22, 156, 156), (199, 78, 189)]"
"[134, 116, 132]","[(29, 29, 33), (22, 156, 156), (243, 139, 170)]"
"[146, 180, 190]","[(29, 29, 33), (58, 179, 218), (249, 255, 254)]"
"[100, 130, 138]","[(29, 29, 33), (58, 179, 218), (157, 157, 151)]"
"[57, 92, 104]","[(29, 29, 33), (58, 179, 218), (71, 79, 82)]"
"[36, 66, 79]","[(29, 29, 33), (58, 179, 218), (29, 29, 33)]"
"[87, 94, 88]","[(29, 29, 33), (58, 179, 218), (131, 84, 50)]"
"[110, 75, 82]","[(29, 29, 33), (58, 179, 218), (176, 46, 38)]"
"[146, 116, 77]","[(29, 29, 33), (58, 179, 218), (249, 128, 29)]"
"[149, 160, 93]","[(29, 29, 33), (58, 179, 218), (254, 216, 61)]"
"[86, 152, 78]","[(29, 29, 33), (58, 179, 218), (128, 199, 31)]"
"[69, 114, 74]","[(29, 29, 33), (58, 179, 218), (94, 124, 22)]"
"[33, 130, 141]","[(29, 29, 33), (58, 179, 218), (22, 156, 156)]"
"[51, 142, 172]","[(29, 29, 33), (58, 179, 218), (58, 179, 218)]"
"[52, 86, 148]","[(29, 29, 33), (58, 179, 218), (60, 68, 170)]"
"[90, 77, 155]","[(29, 29, 33), (58, 179, 218), (137, 50, 184)]"
"[121, 91, 157]","[(29, 29, 33), (58, 179, 218), (199, 78, 189)]"
"[143, 122, 148]","[(29, 29, 33), (58, 179, 218), (243, 139, 170)]"
"[147, 152, 178]","[(29, 29, 33), (60, 68, 170), (249, 255, 254)]"
"[101, 103, 126]","[(29, 29, 33), (60, 68, 170), (157, 157, 151)]"
"[58, 64, 92]","[(29, 29, 33), (60, 68, 170), (71, 79, 82)]"
"[37, 39, 67]","[(29, 29, 33), (60, 68, 170), (29, 29, 33)]"
"[88, 66, 76]","[(29, 29, 33), (60, 68, 170), (131, 84, 50)]"
"[110, 47, 70]","[(29, 29, 33), (60, 68, 170), (176, 46, 38)]"
"[147, 88, 65]","[(29, 29, 33), (60, 68, 170), (249, 128, 29)]"
"[149, 132, 81]","[(29, 29, 33), (60, 68, 170), (254, 216, 61)]"
"[86, 124, 66]","[(29, 29, 33), (60, 68, 170), (128, 199, 31)]"
"[69, 86, 62]","[(29, 29, 33), (60, 68, 170), (94, 124, 22)]"
"[33, 102, 129]","[(29, 29, 33), (60, 68, 170), (22, 156, 156)]"
"[51, 114, 160]","[(29, 29, 33), (60, 68, 170), (58, 179, 218)]"
"[52, 58, 136]","[(29, 29, 33), (60, 68, 170), (60, 68, 170)]"
"[91, 49, 143]","[(29, 29, 33), (60, 68, 170), (137, 50, 184)]"
"[122, 63, 145]","[(29, 29, 33), (60, 68, 170), (199, 78, 189)]"
"[144, 94, 136]","[(29, 29, 33), (60, 68, 170), (243, 139, 170)]"
"[166, 147, 181]","[(29, 29, 33), (137, 50, 184), (249, 255, 254)]"
"[120, 98, 130]","[(29, 29, 33), (137, 50, 184), (157, 157, 151)]"
"[77, 59, 95]","[(29, 29, 33), (137, 50, 184), (71, 79, 82)]"
"[56, 34, 71]","[(29, 29, 33), (137, 50, 184), (29, 29, 33)]"
"[107, 62, 79]","[(29, 29, 33), (137, 50, 184), (131, 84, 50)]"
"[130, 43, 73]","[(29, 29, 33), (137, 50, 184), (176, 46, 38)]"
"[166, 84, 69]","[(29, 29, 33), (137, 50, 184), (249, 128, 29)]"
"[168, 128, 85]","[(29, 29, 33), (137, 50, 184), (254, 216, 61)]"
"[106, 119, 70]","[(29, 29, 33), (137, 50, 184), (128, 199, 31)]"
"[88, 82, 65]","[(29, 29, 33), (137, 50, 184), (94, 124, 22)]"
"[52, 98, 132]","[(29, 29, 33), (137, 50, 184), (22, 156, 156)]"
"[70, 109, 163]","[(29, 29, 33), (137, 50, 184), (58, 179, 218)]"
"[72, 54, 139]","[(29, 29, 33), (137, 50, 184), (60, 68, 170)]"
"[110, 45, 146]","[(29, 29, 33), (137, 50, 184), (137, 50, 184)]"
"[141, 59, 149]","[(29, 29, 33), (137, 50, 184), (199, 78, 189)]"
"[163, 89, 139]","[(29, 29, 33), (137, 50, 184), (243, 139, 170)]"
"[182, 154, 182]","[(29, 29, 33), (199, 78, 189), (249, 255, 254)]"
"[136, 105, 131]","[(29, 29, 33), (199, 78, 189), (157, 157, 151)]"
"[92, 66, 96]","[(29, 29, 33), (199, 78, 189), (71, 79, 82)]"
"[72, 41, 72]","[(29, 29, 33), (199, 78, 189), (29, 29, 33)]"
"[122, 69, 80]","[(29, 29, 33), (199, 78, 189), (131, 84, 50)]"
"[145, 50, 74]","[(29, 29, 33), (199, 78, 189), (176, 46, 38)]"
"[182, 91, 70]","[(29, 29, 33), (199, 78, 189), (249, 128, 29)]"
"[184, 135, 86]","[(29, 29, 33), (199, 78, 189), (254, 216, 61)]"
"[121, 126, 71]","[(29, 29, 33), (199, 78, 189), (128, 199, 31)]"
"[104, 89, 66]","[(29, 29, 33), (199, 78, 189), (94, 124, 22)]"
"[68, 105, 134]","[(29, 29, 33), (199, 78, 189), (22, 156, 156)]"
"[86, 116, 164]","[(29, 29, 33), (199, 78, 189), (58, 179, 218)]"
"[87, 61, 140]","[(29, 29, 33), (199, 78, 189), (60, 68, 170)]"
"[126, 52, 148]","[(29, 29, 33), (199, 78, 189), (137, 50, 184)]"
"[156, 66, 150]","[(29, 29, 33), (199, 78, 189), (199, 78, 189)]"
"[178, 96, 140]","[(29, 29, 33), (199, 78, 189), (243, 139, 170)]"
"[192, 170, 178]","[(29, 29, 33), (243, 139, 170), (249, 255, 254)]"
"[146, 120, 126]","[(29, 29, 33), (243, 139, 170), (157, 157, 151)]"
"[104, 82, 92]","[(29, 29, 33), (243, 139, 170), (71, 79, 82)]"
"[82, 56, 67]","[(29, 29, 33), (243, 139, 170), (29, 29, 33)]"
"[134, 84, 76]","[(29, 29, 33), (243, 139, 170), (131, 84, 50)]"
"[156, 65, 70]","[(29, 29, 33), (243, 139, 170), (176, 46, 38)]"
"[192, 106, 65]","[(29, 29, 33), (243, 139, 170), (249, 128, 29)]"
"[195, 150, 81]","[(29, 29, 33), (243, 139, 170), (254, 216, 61)]"
"[132, 142, 66]","[(29, 29, 33), (243, 139, 170), (128, 199, 31)]"
"[115, 104, 62]","[(29, 29, 33), (243, 139, 170), (94, 124, 22)]"
"[79, 120, 129]","[(29, 29, 33), (243, 139, 170), (22, 156, 156)]"
"[97, 132, 160]","[(29, 29, 33), (243, 139, 170), (58, 179, 218)]"
"[98, 76, 136]","[(29, 29, 33), (243, 139, 170), (60, 68, 170)]"
"[136, 67, 143]","[(29, 29, 33), (243, 139, 170), (137, 50, 184)]"
"[168, 81, 145]","[(29, 29, 33), (243, 139, 170), (199, 78, 189)]"
"[190, 112, 136]","[(29, 29, 33), (243, 139, 170), (243, 139, 170)]"
"[220, 212, 203]","[(131, 84, 50), (249, 255, 254), (249, 255, 254)]"
"[174, 163, 152]","[(131, 84, 50), (249, 255, 254), (157, 157, 151)]"
"[130, 124, 117]","[(131, 84, 50), (249, 255, 254), (71, 79, 82)]"
"[110, 99, 92]","[(131, 84, 50), (249, 255, 254), (29, 29, 33)]"
"[160, 127, 101]","[(131, 84, 50), (249, 255, 254), (131, 84, 50)]"
"[183, 108, 95]","[(131, 84, 50), (249, 255, 254), (176, 46, 38)]"
"[220, 149, 90]","[(131, 84, 50), (249, 255, 254), (249, 128, 29)]"
"[222, 193, 106]","[(131, 84, 50), (249, 255, 254), (254, 216, 61)]"
"[159, 184, 92]","[(131, 84, 50), (249, 255, 254), (128, 199, 31)]"
"[142, 147, 87]","[(131, 84, 50), (249, 255, 254), (94, 124, 22)]"
"[106, 163, 154]","[(131, 84, 50), (249, 255, 254), (22, 156, 156)]"
"[124, 174, 185]","[(131, 84, 50), (249, 255, 254), (58, 179, 218)]"
"[125, 119, 161]","[(131, 84, 50), (249, 255, 254), (60, 68, 170)]"
"[164, 110, 168]","[(131, 84, 50), (249, 255, 254), (137, 50, 184)]"
"[194, 124, 170]","[(131, 84, 50), (249, 255, 254), (199, 78, 189)]"
"[216, 154, 161]","[(131, 84, 50), (249, 255, 254), (243, 139, 170)]"
"[196, 188, 177]","[(131, 84, 50), (157, 157, 151), (249, 255, 254)]"
"[150, 139, 126]","[(131, 84, 50), (157, 157, 151), (157, 157, 151)]"
"[108, 100, 91]","[(131, 84, 50), (157, 157, 151), (71, 79, 82)]"
"[86, 75, 67]","[(131, 84, 50), (157, 157, 151), (29, 29, 33)]"
"[138, 102, 75]","[(131, 84, 50), (157, 157, 151), (131, 84, 50)]"
"[160, 83, 69]","[(131, 84, 50), (157, 157, 151), (176, 46, 38)]"
"[196, 124, 65]","[(131, 84, 50), (157, 157, 151), (249, 128, 29)]"
"[199, 168, 81]","[(131, 84, 50), (157, 157, 151), (254, 216, 61)]"
"[136, 160, 66]","[(131, 84, 50), (157, 157, 151), (128, 199, 31)]"
"[119, 122, 61]","[(131, 84, 50), (157, 157, 151), (94, 124, 22)]"
"[83, 138, 128]","[(131, 84, 50), (157, 157, 151), (22, 156, 156)]"
"[101, 150, 159]","[(131, 84, 50), (157, 157, 151), (58, 179, 218)]"
"[102, 94, 135]","[(131, 84, 50), (157, 157, 151), (60, 68, 170)]"
"[140, 85, 142]","[(131, 84, 50), (157, 157, 151), (137, 50, 184)]"
"[172, 99, 145]","[(131, 84, 50), (157, 157, 151), (199, 78, 189)]"
"[194, 130, 135]","[(131, 84, 50), (157, 157, 151), (243, 139, 170)]"
"[175, 168, 160]","[(131, 84, 50), (71, 79, 82), (249, 255, 254)]"
"[129, 119, 108]","[(131, 84, 50), (71, 79, 82), (157, 157, 151)]"
"[86, 80, 74]","[(131, 84, 50), (71, 79, 82), (71, 79, 82)]"
"[65, 55, 50]","[(131, 84, 50), (71, 79, 82), (29, 29, 33)]"
"[116, 83, 58]","[(131, 84, 50), (71, 79, 82), (131, 84, 50)]"
"[138, 64, 52]","[(131, 84, 50), (71, 79, 82), (176, 46, 38)]"
"[175, 105, 48]","[(131, 84, 50), (71, 79, 82), (249, 128, 29)]"
"[178, 149, 64]","[(131, 84, 50), (71, 79, 82), (254, 216, 61)]"
"[114, 140, 48]","[(131, 84, 50), (71, 79, 82), (128, 199, 31)]"
"[98, 103, 44]","[(131, 84, 50), (71, 79, 82), (94, 124, 22)]"
"[62, 119, 111]","[(131, 84, 50), (71, 79, 82), (22, 156, 156)]"
"[80, 130, 142]","[(131, 84, 50), (71, 79, 82), (58, 179, 218)]"
"[80, 75, 118]","[(131, 84, 50), (71, 79, 82), (60, 68, 170)]"
"[119, 66, 125]","[(131, 84, 50), (71, 79, 82), (137, 50, 184)]"
"[150, 80, 128]","[(131, 84, 50), (71, 79, 82), (199, 78, 189)]"
"[172, 110, 118]","[(131, 84, 50), (71, 79, 82), (243, 139, 170)]"
"[164, 156, 148]","[(131, 84, 50), (29, 29, 33), (249, 255, 254)]"
"[118, 107, 96]","[(131, 84, 50), (29, 29, 33), (157, 157, 151)]"
"[76, 68, 62]","[(131, 84, 50), (29, 29, 33), (71, 79, 82)]"
"[54, 43, 37]","[(131, 84, 50), (29, 29, 33), (29, 29, 33)]"
"[106, 70, 46]","[(131, 84, 50), (29, 29, 33), (131, 84, 50)]"
"[128, 51, 40]","[(131, 84, 50), (29, 29, 33), (176, 46, 38)]"
"[164, 92, 35]","[(131, 84, 50), (29, 29, 33), (249, 128, 29)]"
"[167, 136, 51]","[(131, 84, 50), (29, 29, 33), (254, 216, 61)]"
"[104, 128, 36]","[(131, 84, 50), (29, 29, 33), (128, 199, 31)]"
"[87, 90, 32]","[(131, 84, 50), (29, 29, 33), (94, 124, 22)]"
"[51, 106, 99]","[(131, 84, 50), (29, 29, 33), (22, 156, 156)]"
"[69, 118, 130]","[(131, 84, 50), (29, 29, 33), (58, 179, 218)]"
"[70, 62, 106]","[(131, 84, 50), (29, 29, 33), (60, 68, 170)]"
"[108, 53, 113]","[(131, 84, 50), (29, 29, 33), (137, 50, 184)]"
"[140, 67, 115]","[(131, 84, 50), (29, 29, 33), (199, 78, 189)]"
"[162, 98, 106]","[(131, 84, 50), (29, 29, 33), (243, 139, 170)]"
"[190, 170, 152]","[(131, 84, 50), (131, 84, 50), (249, 255, 254)]"
"[144, 120, 100]","[(131, 84, 50), (131, 84, 50), (157, 157, 151)]"
"[101, 82, 66]","[(131, 84, 50), (131, 84, 50), (71, 79, 82)]"
"[80, 56, 42]","[(131, 84, 50), (131, 84, 50), (29, 29, 33)]"
"[131, 84, 50]","[(131, 84, 50), (131, 84, 50), (131, 84, 50)]"
"[154, 65, 44]","[(131, 84, 50), (131, 84, 50), (176, 46, 38)]"
"[190, 106, 40]","[(131, 84, 50), (131, 84, 50), (249, 128, 29)]"
"[192, 150, 56]","[(131, 84, 50), (131, 84, 50), (254, 216, 61)]"
"[130, 142, 40]","[(131, 84, 50), (131, 84, 50), (128, 199, 31)]"
"[112, 104, 36]","[(131, 84, 50), (131, 84, 50), (94, 124, 22)]"
"[76, 120, 103]","[(131, 84, 50), (131, 84, 50), (22, 156, 156)]"
"[94, 132, 134]","[(131, 84, 50), (131, 84, 50), (58, 179, 218)]"
"[96, 76, 110]","[(131, 84, 50), (131, 84, 50), (60, 68, 170)]"
"[134, 67, 117]","[(131, 84, 50), (131, 84, 50), (137, 50, 184)]"
"[165, 81, 120]","[(131, 84, 50), (131, 84, 50), (199, 78, 189)]"
"[187, 112, 110]","[(131, 84, 50), (131, 84, 50), (243, 139, 170)]"
"[201, 160, 149]","[(131, 84, 50), (176, 46, 38), (249, 255, 254)]"
"[155, 111, 98]","[(131, 84, 50), (176, 46, 38), (157, 157, 151)]"
"[112, 72, 63]","[(131, 84, 50), (176, 46, 38), (71, 79, 82)]"
"[91, 47, 38]","[(131, 84, 50), (176, 46, 38), (29, 29, 33)]"
"[142, 74, 47]","[(131, 84, 50), (176, 46, 38), (131, 84, 50)]"
"[165, 56, 41]","[(131, 84, 50), (176, 46, 38), (176, 46, 38)]"
"[201, 96, 36]","[(131, 84, 50), (176, 46, 38), (249, 128, 29)]"
"[204, 140, 52]","[(131, 84, 50), (176, 46, 38), (254, 216, 61)]"
"[141, 132, 38]","[(131, 84, 50), (176, 46, 38), (128, 199, 31)]"
"[124, 94, 33]","[(131, 84, 50), (176, 46, 38), (94, 124, 22)]"
"[88, 110, 100]","[(131, 84, 50), (176, 46, 38), (22, 156, 156)]"
"[106, 122, 131]","[(131, 84, 50), (176, 46, 38), (58, 179, 218)]"
"[107, 66, 107]","[(131, 84, 50), (176, 46, 38), (60, 68, 170)]"
"[145, 58, 114]","[(131, 84, 50), (176, 46, 38), (137, 50, 184)]"
"[176, 72, 116]","[(131, 84, 50), (176, 46, 38), (199, 78, 189)]"
"[198, 102, 107]","[(131, 84, 50), (176, 46, 38), (243, 139, 170)]"
"[220, 180, 147]","[(131, 84, 50), (249, 128, 29), (249, 255, 254)]"
